         396379 function calls (384047 primitive calls) in 4.043 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:1377(Logger)
        9    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:1412(debug)
        2    0.000    0.000    0.000    0.000 __init__.py:1589(addHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1663(getEffectiveLevel)
        2    0.000    0.000    0.000    0.000 __init__.py:1677(isEnabledFor)
        1    0.000    0.000    0.104    0.104 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1731(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1737(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:179(initialize_soup)
        2    0.000    0.000    0.000    0.000 __init__.py:187(reset)
       12    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.498    0.498 __init__.py:19(<module>)
      542    0.001    0.000    0.001    0.000 __init__.py:195(can_be_empty_element)
        2    0.000    0.000    0.784    0.392 __init__.py:2(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:2006(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:204(deprecated_argument)
       59    0.000    0.000    0.000    0.000 __init__.py:21(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:2135(NullHandler)
       14    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:2151(createLock)
       14    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:234(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:272(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 __init__.py:272(LogRecord)
      436    0.003    0.000    0.005    0.000 __init__.py:284(_replace_cdata_list_attribute_values)
       12    0.001    0.000    0.003    0.000 __init__.py:313(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:32(TreeBuilderRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:322(SAXTreeBuilder)
        1    0.000    0.000    0.000    0.000 __init__.py:323(IncrementalEncoder)
        3    0.000    0.000    0.000    0.000 __init__.py:35(ascii_lower)
        1    0.000    0.000    0.000    0.000 __init__.py:37(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:372(HTMLTreeBuilder)
       91    0.000    0.000    0.000    0.000 __init__.py:385(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:41(register)
        1    0.000    0.000    0.005    0.005 __init__.py:413(PercentStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:420(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.129    0.129 __init__.py:427(_feed)
        4    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
      542    0.000    0.000    0.001    0.000 __init__.py:434(set_up_substitutions)
        1    0.000    0.000    0.000    0.000 __init__.py:440(reset)
        1    0.000    0.000    0.006    0.006 __init__.py:441(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:471(StringTemplateStyle)
        2    0.000    0.000    0.000    0.000 __init__.py:477(register_treebuilders_from)
     1113    0.002    0.000    0.002    0.000 __init__.py:478(string_container)
        1    0.000    0.000    0.000    0.000 __init__.py:489(ParserRejectedMarkup)
        1    0.000    0.000    0.000    0.000 __init__.py:49(check_compatibility)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:51(lookup)
        1    0.000    0.000    0.000    0.000 __init__.py:510(Formatter)
      541    0.003    0.000    0.003    0.000 __init__.py:513(popTag)
      542    0.004    0.000    0.004    0.000 __init__.py:527(pushTag)
